id,descripteur,disparition,envergure,espece,famille,genre,image,localisation,ordre,poids,taille,text,title,class_bird,french_name,english_name
151,,,,,,,,,,,,Viréo à tête noire (Vireo atricapilla) est un oiseau qui appartient à la famille des Viréonidés.,Viréo à tête noire,151.Black_capped_Vireo,Viréo à tête noire,Black-capped Vireo
27,"Gmelin, JF, 1789",LC,30 cm.,bonariensis,"
 ",Ictéridés,https://www.oiseaux.net/photos/denis.chavigny/images/vacher.luisant.dcha.0p.jpg,,Passériformes,31 à 63 g,22 cm,"Le Vacher luisant fait partie des ""Blackbirds"" américains, ainsi nommés car le plumage des mâles est majoritairement ou totalement noir. C'est un blackbird de taille moyenne, à peu près celle de l'Étourneau sansonnet, mais il est plus élancé que ce dernier. Le mâle apparaît entièrement noir. Cependant, sous un bon éclairage, son plumage présente des reflets bleu-violet-pourpre sur tout le corps et souvent vert-bronze sur les ailes et la queue. La femelle est d'un brun assez uniforme avec le dessous légèrement plus clair. Un léger sourcil pâle se remarque à la tête. Le juvénile ressemble à la femelle mais son plumage est moins uniforme, légèrement strié dessus et dessous et souvent avec une nuance jaunâtre. À tous âges, l'œil est brun sombre, les pattes et le bec gris-noirâtre. Le bec conique et pointu est plus fin que celui des autres espèces de vachers. Les 7 sous-espèces reconnues diffèrent par la taille, l'intensité des reflets du plumage des mâles et la tonalité du brun de celui des femelles. Certaines femelles peuvent être très sombres et ressembler de loin à des mâles. Suivant les régions, le Vacher luisant peut être confondu avec d'autres espèces de blackbirds. On le distinguera surtout au plumage très brillant du mâle et à son habitude de fréquenter assidument les troupeaux de bovins et de chevaux.",Vacher luisant,027.Shiny_Cowbird,Vacher luisant,Shiny Cowbird
26,,,,,,,https://www.oiseaux.net/photos/raphael.jordan/images/id/vacher.bronze.rajo.1p.152.h.jpg,,,,,Vacher bronzé (Molothrus aeneus) est un oiseau qui appartient à la famille des Ictéridés.,Vacher bronzé,026.Bronzed_Cowbird,Vacher bronzé,Bronzed Cowbird
77,"Vieillot, 1819",,38 à 41 cm.,melancholicus,"
 ",Tyrannidés,https://www.oiseaux.net/photos/denis.chavigny/images/tyran.melancolique.dcha.0p.jpg,https://www.oiseaux.net/maps/images/tyran.melancolique.1.200.w.png,Passériformes,32 à 43 g,24 cm,Tyran mélancolique (Tyrannus melancholicus) est un oiseau qui appartient à la famille des Tyrannidés.,Tyran mélancolique,077.Tropical_Kingbird,Tyran mélancolique,Tropical Kingbird
38,"Linnaeus, 1758",,34 cm.,crinitus,"
 ",Tyrannidés,https://www.oiseaux.net/photos/denis.chavigny/images/tyran.huppe.dcha.0p.jpg,,Passériformes,27 à 40 g,21 cm,Tyran huppé (Myiarchus crinitus) est un oiseau qui appartient à la famille des Tyrannidés.,Tyran huppé,038.Great_Crested_Flycatcher,Tyran huppé,Great Crested Flycatcher
41,,,,,,,https://www.oiseaux.net/photos/ricketdi/images/tyran.a.longue.queue.fori.1p.152.h.jpg,,,,,Tyran à longue queue (Tyrannus forficatus) est un oiseau qui appartient à la famille des Tyrannidés.,Tyran à longue queue,041.Scissor_tailed_Flycatcher,Tyran à longue queue,Scissor-tailed Flycatcher
196,"Vieillot, 1809",,-,aedon,"
 ",Troglodytidés,https://www.oiseaux.net/photos/denis.chavigny/images/troglodyte.familier.dcha.0p.jpg,https://www.oiseaux.net/maps/images/troglodyte.familier.1.200.w.png,Passériformes,-,13 cm,"C'est probablement la seule espèce qui puisse être confondue avec le Troglodyte mignon, bien que ce dernier soit plus petit, possède une queue plus courte, une livrée plus sombre et des parties inférieures plus nettement barrées de brun 
Chez le troglodyte familier, le capuchon et la nuque sont brun moyen, couleur qui devient plus chaude et plus roussâtre sur le dos et le croupion. Des barres tranversales foncées ornent le dos et les couvertures alaires. Les primaires et les secondaires portent une série de marques brunes et chamois en alternance, ce qui donne une apparence de barre lorsque l'aile est fermée. Les rectrices brun roussâtre sont marquées par une douzaine de barres transversales sombres qui sont particulièrement bien visibles lorsque la queue n'est pas étalée. Les côtés de la tête présentent une teinte gris-brun et un vague sourcil chamois grisâtre. La gorge, le menton et la poitrine sont blanc chamoisé, virant au chamois-roux sur la partie basse du ventre et sur les flancs. Les couvertures sous-caudales sont blanc grisé. L'iris est brun. La mandibule supérieure brun mat contraste avec la mandibule inférieure corne clair. Les pattes sont brun sombre. 
Les juvéniles présentent une poitrine mouchetée. Les barres sur les flancs sont moins évidentes.",Troglodyte familier,196.House_Wren,Troglodyte familier,House Wren
198,"Say, 1822",,23 cm.,obsoletus,"
 ",Troglodytidés,https://www.oiseaux.net/photos/serge.nicolle/images/troglodyte.des.rochers.seni.0p.jpg,,Passériformes,15 à 18 g,16 cm,Troglodyte des rochers (Salpinctes obsoletus) est un oiseau qui appartient à la famille des Troglodytidés.,Troglodyte des rochers,198.Rock_Wren,Troglodyte des rochers,Rock Wren
194,"Lafresnaye, 1835",,27 à 28 cm.,brunneicapillus,"
 ",Troglodytidés,https://www.oiseaux.net/photos/serge.nicolle/images/troglodyte.des.cactus.seni.0p.jpg,https://www.oiseaux.net/maps/images/troglodyte.des.cactus.1.200.w.png,Passériformes,32 à 47 g,19 cm,"En raison de sa grande taille, de ses ailes et sa queue fortement marquées, des bordures blanches de ses rectrices et des importantes taches noires qui maculent sa poitrine, il ne peut être confondu avec aucune autre espèce de troglodyte. On peut, à la rigueur, le prendre pour un Moqueur des armoises, mais ce dernier s'en distingue par son dos uni, son absence de marques aux rémiges et sa double barre alaire. 
Le troglodyte des cactus présente un capuchon brun-chocolat, absolument sans marque. La nuque affiche la même couleur avec cependant quelques stries blanches au centre des plumes. Le dos est plus gris-brun, avec des stries centrales plus larges et plus longues encadrées de noir. Ces stries se poursuivent sur le bas du dos, le croupion et les couvertures sus-caudales. Les tertiaires sont largement barrées d'une couleur qui varie du chamois clair au brun foncé. Les filets extérieurs des primaires et des secondaires présentent une alternance de zones chamois, blanches et noires, ce qui provoque l'émergence de 5 ou 6 barres bien visibles sur l'aile fermée. Les couvertures alaires portent des mouchetures chamois brunâtre. Les rectrices centrales sont recouvertes de barres noir brunâtre et gris-brun clair. Les 4 rectrices extérieures ont des bandes subterminales blanches. Le sourcil blanc part du bec et se poursuit jusqu'en arrière des couvertures auriculaires. Les couvertures auriculaires sont vaguement striées de gris et de noir. Le menton est blanc. La gorge et la poitrine portent de larges motifs noirs sur un fond blanchâtre. Les parties inférieures virent au chamois ou au chamois-orange sur le centre de la poitrine, le ventre, la zone anale et le dessous de la queue avec de petites taches noires. L'iris est brun rougeâtre foncé, le bec noirâtre terne avec une zone plus pâle à la base de la mandibule inférieure. Les pattes sont brunes ou brun-rosâtre. 
Les juvéniles diffèrent par leurs marques pectorales noires moins imposantes et par l'absence de stries blanches sur la nuque et le dos. L'orange-chamois de la zone anale est bien plus terne. L'iris est gris-brun trouble.",Troglodyte des cactus,194.Cactus_Wren,Troglodyte des cactus,Cactus Wren
195,"Latham, 1790",LC,29 cm.,ludovicianus,"
 ",Troglodytidés,https://www.oiseaux.net/photos/serge.nicolle/images/troglodyte.de.caroline.seni.0p.jpg,,Passériformes,18 à 22 g,14 cm,"Chez les adultes, le capuchon et le dos sont brun éclatant devenant plus châtain sur le croupion et les sus-caudales. Les épaules et les grandes couvertures sont également brunes avec une série de petites taches blanches qui tapissent les couvertures primaires. Les secondaires portent des barres sombres sur l'ensemble des filets. Les primaires ne sont barrées que sur les filets extérieurs mais ces marques sont plus sombres et plus visibles. Les rectrices sont brunes, moins châtain que le croupion. Elles sont recouvertes par une vingtaine de barres transversales sombres qui s'étalent à espace régulier sur l'ensemble de la queue. L'œil est surmonté par un évident sourcil blanchâtre qui se poursuit jusqu'aux épaules. Ce trait oculaire est bordé de noir au-dessus et en dessous. Les oreillons sont mouchetés de gris. Le menton et la gorge sont gris sans tache, virant au chamois sur la poitrine et au chamois éclatant sur les flancs et le bas du ventre. Le dessous des ailes est chamois grisâtre. L'iris est brun-rouge. La mandibule supérieure est couleur citron avec une tache claire à la base. La mandibule inférieure est citron pâle. Les pattes sont couleur chair. 

Les juvéniles sont semblables aux adultes quoique légèrement plus pâles. Les couvertures alaires ont des terminaisons chamois. Les plumes de la zone anale sont ébouriffées. L'ensemble du plumage ne porte généralement pas de barres.",Troglodyte de Caroline,195.Carolina_Wren,Troglodyte de Caroline,Carolina Wren
